TF,context,n_mito_total,n_oxphos,n_mitoribo,n_apoptosis_pro,n_apoptosis_anti,apop_balance,apoptosis_pro_genes,apoptosis_anti_genes,n_metab_other,k,frac,hyperg_p,bh_fdr
POU3F1,BA_TEB,11,0,1,0,0,0,,,10,194,0.05670103092783505,0.41144287382561373,0.9999978226741806
SOX10,BA_LE,11,2,1,0,0,0,,,8,167,0.0658682634730539,0.2396091104969434,0.9999978226741806
SREBF2,BA_TEB,11,0,0,0,0,0,,,11,213,0.051643192488262914,0.5356548860254466,0.9999978226741806
STAT3,HS_TEB,11,0,0,1,1,0,Pmaip1,Bcl2,9,274,0.040145985401459854,0.8373275542486895,0.9999978226741806
TBXT,BA_TEB,11,0,0,0,0,0,,,11,168,0.06547619047619048,0.24550172344459495,0.9999978226741806
ZBED4,BA_LE,11,0,1,0,0,0,,,10,169,0.0650887573964497,0.25144646350313915,0.9999978226741806
CEBPG,BA_TEB,10,1,0,0,0,0,,,9,151,0.06622516556291391,0.2483134810339133,0.9999978226741806
CENPA,BA_LE,10,0,2,0,0,0,,,8,224,0.044642857142857144,0.7188820303750427,0.9999978226741806
E2F7,BA_TEB,10,0,0,0,0,0,,,10,255,0.0392156862745098,0.8485758902430276,0.9999978226741806
FLI1,HS_TEB,10,0,1,0,1,-1,,Bcl2,8,353,0.028328611898016998,0.9879664087890507,0.9999978226741806
FOXA2,HS_HE,10,0,0,0,0,0,,,10,161,0.062111801242236024,0.3136414173170939,0.9999978226741806
GATA2,HS_TEB,10,0,0,1,1,0,Pmaip1,Bcl2,8,317,0.031545741324921134,0.9667202693399958,0.9999978226741806
HNF4A,HS_HE,10,0,0,1,0,1,Aifm2,,9,214,0.04672897196261682,0.6647001368509378,0.9999978226741806
KLF5,BA_TEB,10,0,0,1,0,1,Bak1,,9,159,0.06289308176100629,0.3002364133166178,0.9999978226741806
MEIS2,BA_LE,10,1,4,0,0,0,,,5,182,0.054945054945054944,0.45888185015044103,0.9999978226741806
MYBL2,HS_TEB,10,0,1,0,1,-1,,Bcl2,8,211,0.04739336492890995,0.6473330721515449,0.9999978226741806
MYCN,AP_TEB,10,0,1,1,0,1,Bbc3,,8,257,0.038910505836575876,0.8550093850361649,0.9999978226741806
PCGF6,AP_LE,10,0,3,0,0,0,,,7,179,0.055865921787709494,0.43803755743240647,0.9999978226741806
REST,AP_TEB,10,1,1,1,0,1,Bbc3,,7,239,0.04184100418410042,0.7888608682725784,0.9999978226741806
SALL4,BA_TEB,10,0,2,0,0,0,,,8,198,0.050505050505050504,0.5668068386357732,0.9999978226741806
SIX5,AP_TEB,10,1,0,2,0,2,"Bbc3,Bok",,7,151,0.06622516556291391,0.2483134810339133,0.9999978226741806
TCF12,AP_TEB,10,0,0,2,0,2,"Bbc3,Bok",,8,204,0.049019607843137254,0.6049703888640665,0.9999978226741806
TCF3,AP_TEB,10,1,0,2,0,2,"Bbc3,Bok",,7,346,0.028901734104046242,0.9852341749435187,0.9999978226741806
TCF4,HS_TEB,10,0,0,0,1,-1,,Bcl2,9,336,0.02976190476190476,0.9803302783113166,0.9999978226741806
TEAD2,BA_TEB,10,0,0,0,0,0,,,10,186,0.053763440860215055,0.4864771377193512,0.9999978226741806
ZNF530,BA_TEB,10,1,1,0,0,0,,,8,163,0.06134969325153374,0.3271791809350651,0.9999978226741806
CEBPB,HS_TEB,9,1,0,1,0,1,Pmaip1,,7,229,0.039301310043668124,0.8367572193623964,0.9999978226741806
FOSL1,BA_LE,9,0,1,0,0,0,,,8,205,0.04390243902439024,0.7308661597083184,0.9999978226741806
FOXM1,HS_TEB,9,0,0,1,0,1,Pmaip1,,8,242,0.0371900826446281,0.8787805058019774,0.9999978226741806
JUN,HS_TEB,9,1,1,1,1,0,Pmaip1,Bcl2,5,313,0.02875399361022364,0.9818504848465304,0.9999978226741806
MXI1,HS_TEB,9,0,0,2,0,2,"Bnip3,Pmaip1",,7,224,0.04017857142857143,0.8178420924948504,0.9999978226741806
MYBL2,AP_TEB,9,2,0,0,0,0,,,7,287,0.0313588850174216,0.9618234194138531,0.9999978226741806
NCOA3,BA_TEB,9,1,0,0,0,0,,,8,140,0.06428571428571428,0.29209691298604773,0.9999978226741806
PCGF6,BA_LE,9,2,3,0,0,0,,,4,179,0.05027932960893855,0.5735735823142736,0.9999978226741806
PPARG,HS_HE,9,0,0,1,0,1,Aifm2,,8,143,0.06293706293706294,0.3133979795853618,0.9999978226741806
RUNX1,BA_DUCT,9,0,0,1,0,1,Aifm2,,8,327,0.027522935779816515,0.988077600099614,0.9999978226741806
TAL1,HS_HE,9,0,0,1,0,1,Aifm2,,8,139,0.06474820143884892,0.28508076883926325,0.9999978226741806
TBP,AP_TEB,9,2,1,1,0,1,Bbc3,,5,190,0.04736842105263158,0.6451175264767013,0.9999978226741806
TEAD4,AP_TEB,9,0,0,2,0,2,"Bbc3,Bok",,7,339,0.02654867256637168,0.9917674317373366,0.9999978226741806
TWIST1,BA_LE,9,1,2,0,0,0,,,6,182,0.04945054945054945,0.5937274346205655,0.9999978226741806
ZNF750,BA_TEB,9,0,0,0,0,0,,,9,143,0.06293706293706294,0.3133979795853618,0.9999978226741806
ZNF93,BA_LE,9,0,1,0,0,0,,,8,200,0.045,0.7039190748518818,0.9999978226741806
ATF3,HS_TEB,8,0,1,1,0,1,Pmaip1,,6,239,0.03347280334728033,0.9280908724877546,0.9999978226741806
BACH1,HS_TEB,8,0,0,1,1,0,Pmaip1,Bcl2,6,276,0.028985507246376812,0.9748363505503448,0.9999978226741806
BCL11A,BA_TEB,8,0,0,1,0,1,Bid,,7,145,0.05517241379310345,0.4688726540531804,0.9999978226741806
CDX4,BA_TEB,8,0,1,0,0,0,,,7,115,0.06956521739130435,0.23828134405165832,0.9999978226741806
CUX1,AP_TEB,8,2,1,1,0,1,Bbc3,,4,324,0.024691358024691357,0.9944710949688422,0.9999978226741806
DLX4,BA_LE,8,0,2,0,0,0,,,6,137,0.058394160583941604,0.4061393326682154,0.9999978226741806
E2F1,HS_TEB,8,0,0,1,1,0,Pmaip1,Bcl2,6,269,0.02973977695167286,0.9690377452453567,0.9999978226741806
E2F2,BA_TEB,8,0,0,1,0,1,Bak1,,7,190,0.042105263157894736,0.7649754661047548,0.9999978226741806
E2F7,AP_LE,8,0,1,0,0,0,,,7,295,0.02711864406779661,0.9859287270577048,0.9999978226741806
EBF1,HS_TEB,8,0,0,1,0,1,Pmaip1,,7,247,0.032388663967611336,0.9421163593580084,0.9999978226741806
ETS1,HS_TEB,8,1,1,1,1,0,Pmaip1,Bcl2,4,271,0.02952029520295203,0.9708075394957645,0.9999978226741806
GATA6,AP_TEB,8,1,0,1,0,1,Bbc3,,6,208,0.038461538461538464,0.8430438952589354,0.9999978226741806
GATA6,HS_TEB,8,0,0,1,0,1,Pmaip1,,7,249,0.0321285140562249,0.945222552259092,0.9999978226741806
IRF1,BA_DUCT,8,0,0,0,0,0,,,8,204,0.0392156862745098,0.8277302879581299,0.9999978226741806
IRF1,HS_HE,8,0,0,0,0,0,,,8,162,0.04938271604938271,0.5954861885527365,0.9999978226741806
KLF4,AP_TEB,8,1,0,1,0,1,Bbc3,,6,248,0.03225806451612903,0.9436883429870135,0.9999978226741806
KLF5,AP_LE,8,0,3,1,0,1,Bak1,,4,141,0.05673758865248227,0.4376140927694541,0.9999978226741806
MAFF,HS_TEB,8,0,1,1,0,1,Pmaip1,,6,203,0.03940886699507389,0.8237256215864983,0.9999978226741806
MITF,HS_HE,8,0,0,0,0,0,,,8,179,0.0446927374301676,0.7052556400741179,0.9999978226741806
MYB,HS_LE,8,3,1,0,0,0,,,4,129,0.06201550387596899,0.343324771246789,0.9999978226741806
MYB,HS_TEB,8,0,0,1,1,0,Pmaip1,Bcl2,6,236,0.03389830508474576,0.9221162213667458,0.9999978226741806
MYC,HS_TEB,8,1,0,1,1,0,Pmaip1,Bcl2,5,308,0.025974025974025976,0.9906815129401665,0.9999978226741806
PA2G4,AP_LE,8,0,1,0,0,0,,,7,202,0.039603960396039604,0.8196492976832876,0.9999978226741806
PA2G4,BA_TEB,8,0,0,0,0,0,,,8,146,0.0547945205479452,0.47663228058273815,0.9999978226741806
PBX3,HS_TEB,8,1,1,1,1,0,Pmaip1,Bcl2,4,214,0.037383177570093455,0.8639688638538268,0.9999978226741806
PCGF6,BA_TEB,8,1,0,0,0,0,,,7,158,0.05063291139240506,0.5669294001975098,0.9999978226741806
PPARG,BA_DUCT,8,0,0,1,0,1,Aifm2,,7,324,0.024691358024691357,0.9944710949688422,0.9999978226741806
RUNX1,HS_TEB,8,0,0,1,1,0,Pmaip1,Bcl2,6,223,0.03587443946188341,0.8910569746267395,0.9999978226741806
SOX11,BA_TEB,8,1,0,0,0,0,,,7,236,0.03389830508474576,0.9221162213667458,0.9999978226741806
SOX9,BA_DUCT,8,1,0,0,0,0,,,7,270,0.02962962962962963,0.9699344771758576,0.9999978226741806
SRF,AP_TEB,8,0,0,2,0,2,"Bbc3,Bok",,6,232,0.034482758620689655,0.9134880838408004,0.9999978226741806
STAT1,AP_TEB,8,0,1,1,0,1,Bbc3,,6,229,0.034934497816593885,0.9064923534125855,0.9999978226741806
TFAP2A,AP_TEB,8,1,0,1,0,1,Bbc3,,6,276,0.028985507246376812,0.9748363505503448,0.9999978226741806
TP63,AP_TEB,8,1,0,1,0,1,Bbc3,,6,299,0.026755852842809364,0.9875897663549084,0.9999978226741806
TP63,BA_TEB,8,0,0,0,0,0,,,8,141,0.05673758865248227,0.4376140927694541,0.9999978226741806
ZIC5,BA_LE,8,2,0,0,0,0,,,6,121,0.06611570247933884,0.28209987031979983,0.9999978226741806
ZKSCAN4,BA_LE,8,0,0,1,0,1,Bak1,,7,116,0.06896551724137931,0.24542231972500314,0.9999978226741806
ZNF146,BA_TEB,8,1,1,0,0,0,,,6,118,0.06779661016949153,0.2599089229567594,0.9999978226741806
ZNF202,AP_LE,8,1,0,0,0,0,,,7,126,0.06349206349206349,0.320085363086155,0.9999978226741806
ZNF217,HS_TEB,8,0,0,1,0,1,Pmaip1,,7,263,0.030418250950570342,0.9631289707176582,0.9999978226741806
ZNF281,BA_LE,8,0,1,1,0,1,Bid,,6,123,0.06504065040650407,0.29716126771963436,0.9999978226741806
ZNF367,AP_LE,8,0,1,0,0,0,,,7,249,0.0321285140562249,0.945222552259092,0.9999978226741806
ZNF530,AP_LE,8,1,2,0,0,0,,,5,189,0.042328042328042326,0.7599288160151523,0.9999978226741806
ZNF670,BA_TEB,8,0,1,0,0,0,,,7,160,0.05,0.5813215504052234,0.9999978226741806
ZNF695,AP_LE,8,0,3,0,0,0,,,5,224,0.03571428571428571,0.8937686369279203,0.9999978226741806
ZNF749,BA_TEB,8,2,0,0,0,0,,,6,118,0.06779661016949153,0.2599089229567594,0.9999978226741806
ATF3,HS_HE,7,0,0,0,0,0,,,7,130,0.05384615384615385,0.5035628536631981,0.9999978226741806
BHLHE40,HS_HE,7,0,0,1,0,1,Aifm2,,6,118,0.059322033898305086,0.403025174721962,0.9999978226741806
CHAMP1,BA_LE,7,1,0,0,0,0,,,6,114,0.06140350877192982,0.3690816589700117,0.9999978226741806
CTCF,HS_LE,7,2,2,0,0,0,,,3,120,0.058333333333333334,0.4199896398611209,0.9999978226741806
DACH1,HS_TEB,7,1,1,0,1,-1,,Bcl2,4,165,0.04242424242424243,0.7486568556938684,0.9999978226741806
E2F6,HS_LE,7,1,1,0,0,0,,,5,116,0.0603448275862069,0.38604532837053196,0.9999978226741806
EBF1,HS_LE,7,2,1,0,0,0,,,4,105,0.06666666666666667,0.2938386416862101,0.9999978226741806
ELF3,BA_TEB,7,0,0,1,0,1,Bak1,,6,130,0.05384615384615385,0.5035628536631981,0.9999978226741806
ETV4,HS_TEB,7,0,1,1,0,1,Pmaip1,,5,158,0.04430379746835443,0.7075046785223025,0.9999978226741806
FLI1,AP_TEB,7,1,0,1,0,1,Bbc3,,5,389,0.017994858611825194,0.9998205077843356,0.9999978226741806
FOXP1,HS_TEB,7,0,0,1,1,0,Pmaip1,Bcl2,5,263,0.026615969581749048,0.9834611197249009,0.9999978226741806
GATA4,BA_DUCT,7,0,0,0,0,0,,,7,212,0.0330188679245283,0.9229914515503722,0.9999978226741806
HMGA1,AP_LE,7,0,1,0,0,0,,,6,245,0.02857142857142857,0.97081451606132,0.9999978226741806
HMGA1,BA_TEB,7,0,0,0,0,0,,,7,204,0.03431372549019608,0.904094394813689,0.9999978226741806
HOXA1,BA_LE,7,0,3,0,0,0,,,4,144,0.04861111111111111,0.6126850893450833,0.9999978226741806
HOXC11,BA_LE,7,0,0,0,0,0,,,7,119,0.058823529411764705,0.4115112584754554,0.9999978226741806
IKZF1,HS_TEB,7,0,0,1,1,0,Pmaip1,Bcl2,5,201,0.03482587064676617,0.8960504710314294,0.9999978226741806
JUND,BA_DUCT,7,0,0,0,0,0,,,7,242,0.028925619834710745,0.9679965163297738,0.9999978226741806
MAFK,HS_TEB,7,0,0,2,0,2,"Bnip3,Pmaip1",,5,240,0.029166666666666667,0.9659823535745773,0.9999978226741806
MEIS2,BA_TEB,7,0,2,0,0,0,,,5,145,0.04827586206896552,0.6199799230193095,0.9999978226741806
MTF2,BA_TEB,7,0,0,0,0,0,,,7,271,0.025830258302583026,0.9872496474183925,0.9999978226741806
NR3C1,HS_HE,7,0,0,0,0,0,,,7,110,0.06363636363636363,0.335334134264165,0.9999978226741806
NR3C1,HS_TEB,7,0,0,1,1,0,Pmaip1,Bcl2,5,251,0.027888446215139442,0.9757809390979902,0.9999978226741806
OLIG2,BA_TEB,7,0,0,0,0,0,,,7,211,0.03317535545023697,0.9208210544873835,0.9999978226741806
PCGF2,BA_LE,7,0,0,0,0,0,,,7,123,0.056910569105691054,0.44534133267776677,0.9999978226741806
POU5F1,AP_TEB,7,0,0,1,0,1,Bbc3,,6,295,0.023728813559322035,0.9943068138861355,0.9999978226741806
PPARD,HS_TEB,7,0,0,2,1,1,"Bok,Pmaip1",Bcl2,4,259,0.02702702702702703,0.9811961967954627,0.9999978226741806
RFX5,AP_TEB,7,1,0,1,0,1,Bbc3,,5,205,0.03414634146341464,0.9066550704064652,0.9999978226741806
SALL1,BA_LE,7,0,0,0,0,0,,,7,110,0.06363636363636363,0.335334134264165,0.9999978226741806
SALL4,BA_LE,7,0,0,0,0,0,,,7,205,0.03414634146341464,0.9066550704064652,0.9999978226741806
SMAD3,HS_TEB,7,0,1,1,1,0,Pmaip1,Bcl2,4,268,0.026119402985074626,0.9859355738413762,0.9999978226741806
SOX2,AP_TEB,7,1,0,2,0,2,"Bbc3,Bok",,4,299,0.023411371237458192,0.9950401472900192,0.9999978226741806
SOX9,HS_TEB,7,0,0,2,1,1,"Bok,Pmaip1",Bcl2,4,262,0.026717557251908396,0.9829199598653926,0.9999978226741806
SP5,BA_LE,7,0,0,0,0,0,,,7,97,0.07216494845360824,0.2303314776890935,0.9999978226741806
STAT1,HS_TEB,7,0,0,1,1,0,Pmaip1,Bcl2,5,189,0.037037037037037035,0.8579787519209786,0.9999978226741806
STAT3,AP_TEB,7,1,1,1,0,1,Bbc3,,4,332,0.02108433734939759,0.9984634908439027,0.9999978226741806
TCF3,HS_LE,7,2,0,0,0,0,,,5,146,0.04794520547945205,0.6271988690412954,0.9999978226741806
TCF4,BA_DUCT,7,0,0,0,0,0,,,7,343,0.02040816326530612,0.9989732359858476,0.9999978226741806
TCF7,HS_TEB,7,1,0,1,1,0,Pmaip1,Bcl2,4,211,0.03317535545023697,0.9208210544873835,0.9999978226741806
TCF7L2,AP_TEB,7,1,0,1,0,1,Bbc3,,5,289,0.02422145328719723,0.9930113074862064,0.9999978226741806
TCF7L2,HS_TEB,7,0,0,0,1,-1,,Bcl2,6,250,0.028,0.9750112072816666,0.9999978226741806
TFAP2A,HS_HE,7,0,0,1,0,1,Aifm2,,6,148,0.0472972972972973,0.6414038183607345,0.9999978226741806
TFAP2A,HS_TEB,7,0,0,1,1,0,Pmaip1,Bcl2,5,312,0.022435897435897436,0.9968518880859893,0.9999978226741806
THAP10,BA_LE,7,3,1,0,0,0,,,3,179,0.03910614525139665,0.8181954734429076,0.9999978226741806
TP53,AP_TEB,7,2,0,1,0,1,Bbc3,,4,299,0.023411371237458192,0.9950401472900192,0.9999978226741806
TP63,HS_TEB,7,0,0,1,1,0,Pmaip1,Bcl2,5,335,0.020895522388059702,0.9986226548817293,0.9999978226741806
VDR,BA_DUCT,7,1,0,0,0,0,,,6,184,0.03804347826086957,0.8390642126995412,0.9999978226741806
YY1,HS_LE,7,2,2,0,0,0,,,3,117,0.05982905982905983,0.39453522758334847,0.9999978226741806
ZNF124,BA_LE,7,0,1,0,0,0,,,6,185,0.03783783783783784,0.843000245029693,0.9999978226741806
ZNF215,BA_LE,7,0,1,0,0,0,,,6,202,0.034653465346534656,0.8987930772541833,0.9999978226741806
ZNF281,AP_LE,7,0,1,0,0,0,,,6,102,0.06862745098039216,0.2695189150093213,0.9999978226741806
ZNF395,HS_TEB,7,0,0,2,1,1,"Bnip3,Pmaip1",Bcl2,4,97,0.07216494845360824,0.2303314776890935,0.9999978226741806
ZNF714,BA_LE,7,0,1,0,0,0,,,6,187,0.0374331550802139,0.8506409360693259,0.9999978226741806
ZNF878,BA_LE,7,1,0,0,0,0,,,6,116,0.0603448275862069,0.38604532837053196,0.9999978226741806
ZNF90,BA_LE,7,0,2,0,0,0,,,5,166,0.04216867469879518,0.7541851817665888,0.9999978226741806
ZUP1,AP_LE,7,1,4,0,0,0,,,2,110,0.06363636363636363,0.335334134264165,0.9999978226741806
AHRR,BA_LE,6,0,0,0,0,0,,,6,158,0.0379746835443038,0.8268924316297529,0.9999978226741806
ARNTL2,BA_LE,6,0,1,0,0,0,,,5,147,0.04081632653061224,0.7717323266929257,0.9999978226741806
ATF4,HS_LE,6,1,1,0,0,0,,,4,81,0.07407407407407407,0.23597125978682232,0.9999978226741806
BHLHE40,AP_TEB,6,0,0,1,0,1,Bbc3,,5,190,0.031578947368421054,0.9291616925773327,0.9999978226741806
CBX2,HS_LE,6,0,0,1,0,1,Bok,,5,144,0.041666666666666664,0.7546041119146821,0.9999978226741806
CEBPB,AP_TEB,6,1,0,1,0,1,Bbc3,,4,227,0.02643171806167401,0.9779313505909148,0.9999978226741806
CENPA,BA_TEB,6,0,0,0,0,0,,,6,177,0.03389830508474576,0.8966594548964069,0.9999978226741806
DACH1,AP_TEB,6,1,0,0,0,0,,,5,146,0.0410958904109589,0.7661245005081432,0.9999978226741806
E2F2,AP_LE,6,0,1,1,0,1,Bak1,,4,200,0.03,0.9476601146019955,0.9999978226741806
E2F4,AP_TEB,6,1,0,1,0,1,Bbc3,,4,262,0.022900763358778626,0.9933831178407903,0.9999978226741806
EGR1,BA_DUCT,6,1,0,0,0,0,,,5,462,0.012987012987012988,0.9999978226741806,0.9999978226741806
ELF1,HS_LE,6,2,1,0,0,0,,,3,101,0.0594059405940594,0.4172062985426058,0.9999978226741806
ELK3,HS_HE,6,0,0,0,0,0,,,6,89,0.06741573033707865,0.30654665870086434,0.9999978226741806
ETV4,AP_TEB,6,0,0,1,0,1,Bbc3,,5,180,0.03333333333333333,0.9051253782454847,0.9999978226741806
FOS,BA_DUCT,6,0,0,1,0,1,Aifm2,,5,221,0.027149321266968326,0.9731170893778947,0.9999978226741806
FOSL1,BA_TEB,6,0,0,0,0,0,,,6,191,0.031413612565445025,0.9312419417379614,0.9999978226741806
FOSL2,BA_DUCT,6,1,0,0,0,0,,,5,195,0.03076923076923077,0.9390326378823639,0.9999978226741806
FOXA1,HS_HE,6,0,0,0,0,0,,,6,145,0.041379310344827586,0.7604152279821081,0.9999978226741806
FOXM1,HS_LE,6,0,0,0,0,0,,,6,122,0.04918032786885246,0.6011590272980332,0.9999978226741806
GATA1,HS_HE,6,0,0,0,0,0,,,6,123,0.04878048780487805,0.6091496783042007,0.9999978226741806
GATA6,HS_HE,6,0,0,0,0,0,,,6,118,0.05084745762711865,0.5683441003368022,0.9999978226741806
HES6,BA_TEB,6,0,0,0,0,0,,,6,124,0.04838709677419355,0.6170512515076318,0.9999978226741806
HHEX,BA_DUCT,6,0,0,0,0,0,,,6,143,0.04195804195804196,0.7486908193076156,0.9999978226741806
HHEX,HS_TEB,6,1,0,1,0,1,Pmaip1,,4,152,0.039473684210526314,0.798267801013613,0.9999978226741806
HIF1A,HS_TEB,6,0,0,1,1,0,Pmaip1,Bcl2,4,165,0.03636363636363636,0.8560908465048327,0.9999978226741806
HMG20B,BA_TEB,6,0,0,0,0,0,,,6,89,0.06741573033707865,0.30654665870086434,0.9999978226741806
HOXB4,HS_LE,6,1,1,0,0,0,,,4,79,0.0759493670886076,0.21915497634959466,0.9999978226741806
HOXB7,HS_TEB,6,0,0,0,0,0,,,6,164,0.036585365853658534,0.8521841559298884,0.9999978226741806
MAFK,HS_HE,6,0,0,0,0,0,,,6,112,0.05357142857142857,0.5168202393167076,0.9999978226741806
MEF2A,BA_DUCT,6,0,0,0,0,0,,,6,199,0.03015075376884422,0.9460276689006902,0.9999978226741806
MEIS1,BA_DUCT,6,0,0,0,0,0,,,6,241,0.024896265560165973,0.986225810359406,0.9999978226741806
MTF2,AP_LE,6,0,2,0,0,0,,,4,166,0.03614457831325301,0.8599123089325168,0.9999978226741806
MXI1,HS_HE,6,0,0,1,0,1,Aifm2,,5,120,0.05,0.5849179219749546,0.9999978226741806
MYB,AP_TEB,6,0,0,1,0,1,Bbc3,,5,242,0.024793388429752067,0.986689266987278,0.9999978226741806
MYOD1,HS_TEB,6,0,0,1,1,0,Bok,Bcl2,4,209,0.028708133971291867,0.9604695998277405,0.9999978226741806
NANOG,HS_LE,6,1,1,0,0,0,,,4,87,0.06896551724137931,0.2885012186716651,0.9999978226741806
NFIB,BA_LE,6,1,2,0,0,0,,,3,122,0.04918032786885246,0.6011590272980332,0.9999978226741806
NFIC,BA_DUCT,6,0,0,0,0,0,,,6,194,0.030927835051546393,0.9371622770914638,0.9999978226741806
NR1H3,HS_TEB,6,0,0,1,0,1,Bnip3,,5,152,0.039473684210526314,0.798267801013613,0.9999978226741806
NR3C1,AP_TEB,6,0,1,1,0,1,Bbc3,,4,210,0.02857142857142857,0.9617011229981466,0.9999978226741806
OLIG2,BA_DUCT,6,0,0,0,0,0,,,6,209,0.028708133971291867,0.9604695998277405,0.9999978226741806
OTX1,BA_LE,6,3,0,0,0,0,,,3,106,0.05660377358490566,0.4630933273814462,0.9999978226741806
PAX5,HS_LE,6,1,0,0,0,0,,,5,118,0.05084745762711865,0.5683441003368022,0.9999978226741806
PPARG,AP_HE,6,0,1,0,0,0,,,5,121,0.049586776859504134,0.5930811237022716,0.9999978226741806
PRDM1,HS_TEB,6,0,0,1,1,0,Pmaip1,Bcl2,4,203,0.029556650246305417,0.9522947342165552,0.9999978226741806
RARB,BA_TEB,6,0,1,0,0,0,,,5,177,0.03389830508474576,0.8966594548964069,0.9999978226741806
REST,HS_HE,6,0,0,0,0,0,,,6,123,0.04878048780487805,0.6091496783042007,0.9999978226741806
RUNX1,HS_HE,6,0,0,1,0,1,Aifm2,,5,164,0.036585365853658534,0.8521841559298884,0.9999978226741806
RUNX2,AP_TEB,6,0,0,1,0,1,Bbc3,,5,223,0.026905829596412557,0.9748202908426844,0.9999978226741806
RUNX2,HS_TEB,6,1,0,1,1,0,Pmaip1,Bcl2,3,265,0.022641509433962263,0.9940551119983696,0.9999978226741806
SOX10,BA_TEB,6,0,0,0,0,0,,,6,141,0.0425531914893617,0.7365567109313615,0.9999978226741806
SOX2,BA_DUCT,6,0,0,0,0,0,,,6,287,0.020905923344947737,0.9973332651476344,0.9999978226741806
SOX9,AP_TEB,6,1,0,1,0,1,Bok,,4,221,0.027149321266968326,0.9731170893778947,0.9999978226741806
SPI1,HS_HE,6,0,0,0,0,0,,,6,122,0.04918032786885246,0.6011590272980332,0.9999978226741806
SREBF1,HS_HE,6,0,0,0,0,0,,,6,106,0.05660377358490566,0.4630933273814462,0.9999978226741806
SREBF2,AP_TEB,6,1,0,0,0,0,,,5,148,0.04054054054054054,0.7772391650731589,0.9999978226741806
STAT5A,HS_HE,6,0,0,1,0,1,Aifm2,,5,110,0.05454545454545454,0.49912051850111894,0.9999978226741806
TCFL5,BA_LE,6,0,0,1,0,1,Bid,,5,153,0.0392156862745098,0.8032785298280305,0.9999978226741806
TFAP2A,BA_DUCT,6,0,0,1,0,1,Aifm2,,5,257,0.023346303501945526,0.9921001083890801,0.9999978226741806
TFAP2C,AP_TEB,6,2,0,1,0,1,Bbc3,,3,282,0.02127659574468085,0.9967925457909204,0.9999978226741806
THAP8,BA_TEB,6,1,0,0,0,0,,,5,84,0.07142857142857142,0.26189047571656404,0.9999978226741806
TP63,HS_HE,6,0,0,1,0,1,Aifm2,,5,142,0.04225352112676056,0.7426750842658737,0.9999978226741806
TWIST1,BA_TEB,6,0,0,0,0,0,,,6,146,0.0410958904109589,0.7661245005081432,0.9999978226741806
YY1,AP_TEB,6,1,0,1,0,1,Bbc3,,4,231,0.025974025974025976,0.9806825888066126,0.9999978226741806
YY2,BA_LE,6,1,0,0,0,0,,,5,121,0.049586776859504134,0.5930811237022716,0.9999978226741806
ZBED4,AP_LE,6,0,0,0,0,0,,,6,183,0.03278688524590164,0.9129867263886331,0.9999978226741806
ZBED4,BA_TEB,6,0,0,0,0,0,,,6,127,0.047244094488188976,0.6402051440998545,0.9999978226741806
ZBTB12,BA_LE,6,1,0,0,0,0,,,5,162,0.037037037037037035,0.8441105950794277,0.9999978226741806
ZFP69B,BA_LE,6,0,0,0,0,0,,,6,138,0.043478260869565216,0.7175849155167189,0.9999978226741806
ZIK1,BA_LE,6,0,1,0,0,0,,,5,157,0.03821656050955414,0.8223587194864321,0.9999978226741806
ZKSCAN4,AP_LE,6,0,0,1,0,1,Bak1,,5,100,0.06,0.40795850781749043,0.9999978226741806
ZNF121,AP_LE,6,0,1,0,0,0,,,5,104,0.057692307692307696,0.44482704017406693,0.9999978226741806
ZNF22,BA_TEB,6,0,1,0,0,0,,,5,120,0.05,0.5849179219749546,0.9999978226741806
ZNF496,AP_LE,6,2,0,0,0,0,,,4,94,0.06382978723404255,0.35238585232263703,0.9999978226741806
ZNF544,AP_LE,6,1,1,0,0,0,,,4,103,0.05825242718446602,0.4356451966964468,0.9999978226741806
ZNF598,BA_TEB,6,0,0,0,0,0,,,6,80,0.075,0.22751288120005714,0.9999978226741806
ZNF668,BA_TEB,6,0,0,0,0,0,,,6,88,0.06818181818181818,0.2974973899390668,0.9999978226741806
ZNF695,BA_TEB,6,0,0,0,0,0,,,6,208,0.028846153846153848,0.959202169059254,0.9999978226741806
ZNF714,AP_LE,6,0,2,0,0,0,,,4,181,0.03314917127071823,0.9078113779633323,0.9999978226741806
ZNF90,AP_LE,6,3,1,0,0,0,,,2,164,0.036585365853658534,0.8521841559298884,0.9999978226741806
ZNF92,BA_TEB,6,0,0,0,0,0,,,6,205,0.02926829268292683,0.9551754595115126,0.9999978226741806
ZNF93,AP_LE,6,0,2,0,0,0,,,4,193,0.031088082901554404,0.9352411120802853,0.9999978226741806
ALX1,BA_TEB,5,1,0,0,0,0,,,4,115,0.043478260869565216,0.7094323024235251,0.9999978226741806
AR,HS_HE,5,0,0,0,0,0,,,5,113,0.04424778761061947,0.6948269445049737,0.9999978226741806
ARNTL2,AP_LE,5,0,1,0,0,0,,,4,137,0.0364963503649635,0.8380002227654724,0.9999978226741806
ATF1,AP_TEB,5,0,0,1,0,1,Bbc3,,4,179,0.027932960893854747,0.9557820712078733,0.9999978226741806
BACH1,BA_DUCT,5,0,0,1,0,1,Aifm2,,4,277,0.018050541516245487,0.9988148145317159,0.9999978226741806
