TF,context,n_mito_total,n_oxphos,n_mitoribo,n_apoptosis_pro,n_apoptosis_anti,apop_balance,apoptosis_pro_genes,apoptosis_anti_genes,n_metab_other,k,frac,hyperg_p,bh_fdr
ZNF280A,HS_LE,3,0,0,0,0,0,,,3,30,0.1,0.19792227747202865,0.9348485785606931
NME2,BA_TEB,9,1,0,0,0,0,,,8,126,0.07142857142857142,0.19910946509563715,0.938411565929003
GATA3,BA_TEB,15,0,1,0,0,0,,,14,229,0.06550218340611354,0.19981493352611054,0.9396936570165025
ZNF207,HS_LE,6,2,1,0,0,0,,,3,77,0.07792207792207792,0.20276371367564547,0.9514972537852799
TFDP1,BA_TEB,17,1,1,0,0,0,,,15,265,0.06415094339622641,0.2040793982245118,0.9556028841268717
E2F7,BA_LE,20,0,1,0,0,0,,,19,320,0.0625,0.21177383734758273,0.9747891281731621
E2F4,HS_LE,10,2,1,0,0,0,,,7,145,0.06896551724137931,0.21165269561938976,0.9747891281731621
ZNF35,AP_LE,8,0,4,0,0,0,,,4,111,0.07207207207207207,0.21047611424036045,0.9747891281731621
KLF5,HS_DUCT,4,0,0,0,0,0,,,4,46,0.08695652173913043,0.20943090719772095,0.9747891281731621
CDX2,HS_DUCT,3,0,0,0,0,0,,,3,31,0.0967741935483871,0.21138066397613337,0.9747891281731621
TCF7L2,HS_DUCT,3,0,0,0,0,0,,,3,31,0.0967741935483871,0.21138066397613337,0.9747891281731621
TSC22D1,HS_LE,3,1,0,0,0,0,,,2,31,0.0967741935483871,0.21138066397613337,0.9747891281731621
ZNF275,HS_LE,3,0,0,0,0,0,,,3,31,0.0967741935483871,0.21138066397613337,0.9747891281731621
GLIS3,HS_DUCT,2,0,0,0,0,0,,,2,17,0.11764705882352941,0.21613638202467364,0.9906631632758827
