GeneSet	Description	PValue	FDR	neg_log10_pval	Genes	GeneSetSize	gene_set	fold_enrichment	ratio_intersection_term	ratio_intersection_query
GO:0009887	animal organ morphogenesis	8.32159839844688e-06	8.32159839844688e-06	5.07979324715242	Pgr,Inhba,Msx2,Itga2,Pappa2,Ptn,Areg,Igfbp5,Fgf2,Ntn1,Tnfrsf11b,Slc44a4,Grem2,Wnt5b,Gli1,Hey2,Tbx3,Fst,Stc1,Wnt7b,Fzd3,Meis1,Ednra,Wnt4,Aldh1a3,Heyl,Wnt5a,Tgm2,Ngfr,Igf1,Esr1,Jag1,Fgfr1,Aldh1a1,Gcnt4,Etv4,Tuba1a,Flrt2,Il6,Megf9,Bmp7,Plau,Rbm20,Smarcd3,Ccl11,Ar,Ccl2,Snai2,Serpine1,Hoxb2,Csf1,Prox1,Twsg1,Tbx15,Nectin3,Sox6,Vegfc,Emp2,Cd34,Itgav,Wls,Tnf,Sulf1,Prdm1,Meis3,Tmt1a,Foxa1,Col11a1	870	6all_n	2.86600459770115	0.0781609195402299	0.136
GO:0048646	anatomical structure formation involved in morphogenesis	1.21775557414205e-05	1.21775557414205e-05	4.91443987381647	Inhba,Cyp1b1,Msx2,Itga2,Ptn,Ndnf,Fgf2,Ptgs2,Hey1,Ugt8a,Slc44a4,Chi3l1,Hey2,F3,Tbx3,Lepr,Wnt7b,Cysltr1,Fzd3,Meis1,Ednra,Thbs4,Wnt4,Aldh1a3,Heyl,Wnt5a,Tgm2,Bcl6,Ngfr,Fgfr1,Aldh1a1,Tm4sf1,Egr2,Bmp7,Plau,Rbm20,Smarcd3,Cemip2,Ank2,Smoc2,Ccl11,Ar,Dcn,Reck,Ccl2,Snai2,Tnfaip2,Serpine1,Zfp385a,Prox1,Twsg1,Hmox1,Ecscr,Epb41l3,Vegfc,Emp2,Cd34,Itgav,Wls,Tnf,Serpinf1,Emcn,Sulf1,Spred1,Itgb8,Ecm1,Adamts15,Camk1,Foxa1,Col11a1,Prkca,Anxa2,Csrp2,Cdon	1037	6all_n	2.5404050144648	0.0713596914175506	0.14368932038835
GO:0022603	regulation of anatomical structure morphogenesis	1.68623624235752e-05	1.68623624235752e-05	4.77308158062179	Ptprz1,Cyp1b1,Trpc6,Ptn,P2ry1,Fgf2,Ntn1,Cst3,Tnfrsf11b,Wnt5b,Chi3l1,F3,Map2,Alox12,Cysltr1,Ednra,Thbs4,Wnt4,Map1b,Wnt5a,Ngfr,Esr1,Jag1,Fgfr1,Il6,Bmp7,Cemip2,Lpar1,Smoc2,Ccl11,Ar,Prag1,Dcn,Reck,Ccl2,Snai2,Map6,Chn1,Serpine1,Csf1,Cd44,Hmox1,Ecscr,Enpp2,Epb41l3,Vegfc,Sdc2,Emp2,Cd34,Wls,Tnf,Serpinf1,Sulf1,Spred1,S100a13,Itgb8,Ecm1,Prkca,Ago4,Epha4,Anxa3,Dlg4,Sema6d,Nf1,Sema7a	798	6all_n	2.5926578599276	0.081453634085213	0.112847222222222
GO:0045597	positive regulation of cell differentiation	1.9670155299699e-05	1.9670155299699e-05	4.70619221122779	Pcp4,Ptprz1,Inhba,Trpc6,Gdpd2,Msx2,Ptn,Prkg2,Btc,Fgf2,Ptgs2,Ntn1,Wnt5b,Wnt7b,Cysltr1,Fzd3,Mme,Wnt4,Map1b,Gas6,Heyl,Wnt5a,Tgm2,Htr2a,Bcl6,Adamts20,Ngfr,Igf1,Jag1,Fgfr1,Dkkl1,Etv4,Kitl,Egr2,Igfbp3,Il6,Bmp7,Smarcd3,Ar,Snai2,Map6,Serpine1,Zfp385a,Csf1,Pde5a,Prox1,Enpp2,Sox6,Vegfc,Emp2,Cd34,Wls,Tnf,Serpinf1,Camk1,Foxa1,Cdon,Gcnt2,Epha4,Socs5,Dlg4,Rara,Jak2,Sema7a,Mmd,Runx1,Rb1,App,Il6st,Sema5a,Zfp36l1,Bmpr2,Mecp2,Syap1,Il33,Nptn,Arhgef2,Skil,Bnip2,Rab21,Shoc2,Vezf1,Braf,Dscam,Cyp26b1	840	6all_n	2.33655691495742	0.101190476190476	0.107052896725441
GO:0008284	positive regulation of cell population proliferation	2.04748851027565e-05	2.04748851027565e-05	4.68877852665564	Ptprz1,Pgr,Itga2,Ptn,Btc,Rasgrf1,Areg,Igfbp5,Fgf2,Ptgs2,Ntn1,Cst3,Gli1,Hey2,F3,Tbx3,Alox12,Wnt7b,Cysltr1,Fzd3,Meis1,Ednra,Thbs4,Cntfr,Tacr1,Timp1,Gas6,Wnt5a,Tgm2,Htr2a,Osmr,Bcl6,Ngfr,Igf1,Esr1,Fgfr1,Kitl,Pla2g4a,Il6,Plau,Smarcd3,Vcam1,Ccl11,Fbln1,Ar,Ccl2,Il13ra1,Csf1,Cxcl1,Prox1,Hmox1,Enpp2,Vegfc,Emp2,Itgav,Tnf,Sulf1,Cdkn1a,Meis3,S100a13,Ecm1,Prkca,Anxa2,Cdon,Gcnt2,Lifr,Epha4,Efnb1,Cd47,Rara,Jak2,Nf1,Abcc4,Acer2,Bcl2l1,Vav3,Il6st,Epgn,Acer3,Akt3	842	6all_n	2.69651353478008	0.0950118764845606	0.123839009287926
GO:0098609	cell-cell adhesion	2.46015039066835e-05	2.46015039066835e-05	4.60903834336775	Cyp1b1,Fgg,Itga2,Cldn10,Ptprt,Ntn1,Fgb,Flrt3,Lrrc4,Alox12,Pcdhb19,Wnt7b,Thbs4,Wnt4,Cd200,Pcdhb21,Icam5,Wnt5a,Cldn11,Bcl6,Alcam,Igf1,Jag1,Pcdhgb1,Pcdhb20,Pcdhb15,Pcdhb16,Pcdhga4,Kitl,Stxbp1,Il6,Entpd1,Bmp7,Smarcd3,Vcam1,Magi2,Ccl2,Pcdhb17,Cadm4,Prnp,Cd44,Pde5a,Twsg1,Sele,Selp,Pcdhgb6,Nectin3,Pcdh1,Cd34,Itgav,Fgl2,Tnf,Emcn,Lgals1,Hmcn2,Pcdh18,Prkca,Cdon,Gcnt2,Efnb1,Socs5,Cd47,Dlg4,Rara,Jak2	797	6all_n	2.66532026292894	0.081555834378921	0.115864527629234
GO:0031589	cell-substrate adhesion	2.61746578094309e-05	2.61746578094309e-05	4.58211898729754	Ptprz1,Fgg,Meltf,Itga2,Ptn,Apod,Ndnf,Fgb,Myoc,Wnt4,Sorbs3,Gas6,Bcl6,Jag1,Arhgap6,Otoa,Plau,Smoc2,Vcam1,Fbln1,Serpine1,Csf1,Epdr1,Enpp2,Peak1,Emp2,Cd34,Itgav,Lgals1,Itgb8,Egflam,Anxa2,Gcnt2,Jak2,Nf1,S100a10,Acer2	329	6all_n	3.4595275494176	0.112462006079027	0.0620805369127517
GO:0030879	mammary gland development	2.75752412877942e-05	2.75752412877942e-05	4.55948067872461	Pgr,Msx2,Itga2,Pinc,Cdo1,Areg,Igfbp5,Fgf2,Ntn1,Tbx3,Wnt7b,Wnt4,Wnt5a,Igf1,Esr1,Etv4,Ccl11,Ar,Ccl2	134	6all_n	7.47010636472808	0.141791044776119	0.0545977011494253
GO:0048870	cell motility	5.04584156823016e-05	5.04584156823016e-05	4.2970663897922	Ptprz1,Pgr,Cyp1b1,Msx2,Itga2,Ptn,Apod,Ndnf,P2ry1,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Gfra1,Lratd1,Flrt3,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Rsph9,Fzd3,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Bcl6,Ngfr,Igf1,Jag1,Fgfr1,Cfap54,Mctp1,Kitl,Tuba1a,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Chl1,Vcam1,Magi2,Ccl11,Fbln1,Prag1,Dcn,Reck,Ccl2,Nox4,Snai2,Cadm4,Serpine1,Csf1,Cxcl1,Cd44,Prox1,Hmox1,Sele,Selp,Enpp2,Matn2,Peak1,Vegfc,Sdc2,Emp2,Cd34,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Sh3d21,Ecm1,Prkca,Mapre2,Gcnt2,Plat,Epha4,Efnb1,Cd47,Anxa3,Sema6d,Jak2,Cdc42bpa,Nf1,Sema7a,Mgat5,Cep85l,Ssh1,Vav3,App,Hyal2,Il6st,Akt3,Cxcl15,Mospd2,Ston1,Smurf2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l	1470	6all_n	2.11206514722677	0.0789115646258503	0.169343065693431
GO:0002009	morphogenesis of an epithelium	5.4760863412416e-05	5.4760863412416e-05	4.26152971297976	Pgr,Msx2,Krt6a,Areg,Igfbp5,Fgf2,Lgr5,Ntn1,Flrt3,Wnt5b,Tbx3,Fst,Alox12,Wnt7b,Fzd3,Ednra,Wnt4,Aldh1a3,Wnt5a,Tgm2,Ngfr,Igf1,Esr1,Jag1,Fgfr1,Aldh1a1,Etv4,Il6,Bmp7,Ccl11,Ar,Snai2,Hoxb2,Csf1,Cd44,Prox1,Vegfc,Tnf,Rhoc,Sulf1	462	6all_n	3.40635044497705	0.0865800865800866	0.0858369098712446
