human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,effect,pathway,is_core,is_mitochondrial,sources,in_GO,in_KEGG,in_Reactome,in_Hallmark,confidence,evidence_score,original_category,family_pathway,modality
PRKACB,Prkacb,ENSG00000142875,ENSMUSG00000005034,pro-death,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,LIKELY,1,Unspecified,NA,NA
PRKACG,NA,ENSG00000165059,NA,pro-death,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,LIKELY,1,Unspecified,NA,NA
PRKAR1B,Prkar1b,ENSG00000188191,ENSMUSG00000025855,pro-death,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,LIKELY,1,Unspecified,NA,NA
PRKAR2B,Prkar2b,ENSG00000005249,ENSMUSG00000002997,pro-death,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,LIKELY,1,Unspecified,NA,NA
PRMT2,Prmt2,ENSG00000160310,ENSMUSG00000020230,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PRNP,Prnp,ENSG00000171867,ENSMUSG00000079037,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PRR7,Prr7,ENSG00000131188,ENSMUSG00000034686,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PSEN2,Psen2,ENSG00000143801,ENSMUSG00000010609,pro-death,apoptosis,FALSE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,LIKELY,1,Ambiguous,NA,NA
PSENEN,Psenen,ENSG00000205155,ENSMUSG00000036835,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PSMA8,Psma8,ENSG00000154611,ENSMUSG00000036743,pro-death,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,LIKELY,1,Unspecified,NA,NA
PSMB8,Psmb8,ENSG00000235715,ENSMUSG00000024338,pro-death,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,LIKELY,1,Unspecified,NA,NA
PTEN,Pten,ENSG00000284792,ENSMUSG00000013663,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PTGIS,Ptgis,ENSG00000124212,ENSMUSG00000017969,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PTPA,Ptpa,ENSG00000119383,ENSMUSG00000039515,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PXT1,NA,ENSG00000179165,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
PYCARD,Pycard,ENSG00000103490,ENSMUSG00000030793,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
