human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,effect,pathway,is_core,is_mitochondrial,sources,in_GO,in_KEGG,in_Reactome,in_Hallmark,confidence,evidence_score,original_category,family_pathway,modality
AIFM1,Aifm1,ENSG00000156709,ENSMUSG00000036932,pro-death,both,TRUE,TRUE,"GO_Pro_Human,KEGG",TRUE,TRUE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Caspase-independent apoptosis,Parthanatos
APAF1,Apaf1,ENSG00000120868,ENSMUSG00000019979,pro-death,apoptosis,TRUE,FALSE,"GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Apoptosome,NA
ATG7,Atg7,ENSG00000197548,ENSMUSG00000030314,pro-death,CICD,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,Autophagy-dependent cell death
BAD,Bad,ENSG00000002330,ENSMUSG00000024959,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BAK1,Bak1,ENSG00000030110,ENSMUSG00000057789,pro-death,both,TRUE,TRUE,"GO_Pro_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BCL2 family,MPT-driven necrosis
BAX,Bax,ENSG00000087088,ENSMUSG00000003873,pro-death,both,TRUE,TRUE,"GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BCL2 family,MPT-driven necrosis
BBC3,Bbc3,ENSG00000105327,ENSMUSG00000002083,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BCL2L11,Bcl2l11,ENSG00000153094,ENSMUSG00000027381,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Hallmark,Reactome",TRUE,FALSE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BECN1,Becn1,ENSG00000126581,ENSMUSG00000035086,pro-death,CICD,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,Autophagy-dependent cell death
BID,Bid,ENSG00000015475,ENSMUSG00000004446,pro-death,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,LIKELY,1,Ambiguous,BH3-only,NA
BMF,Bmf,ENSG00000104081,ENSMUSG00000040093,pro-death,apoptosis,TRUE,FALSE,"GO_Pro_Human,Hallmark,Reactome",TRUE,FALSE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BNIP3L,Bnip3l,ENSG00000104765,NA,pro-death,CICD,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,LIKELY,1,Ambiguous,NA,MPT-driven necrosis
BOK,Bok,ENSG00000176720,ENSMUSG00000026278,pro-death,apoptosis,TRUE,TRUE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BCL2 family,NA
CASP10,NA,ENSG00000003400,NA,pro-death,apoptosis,TRUE,FALSE,"GO_Pro_Human,KEGG",TRUE,TRUE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Initiator caspase (extrinsic),NA
CASP2,Casp2,ENSG00000106144,ENSMUSG00000029863,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,LIKELY,1,Ambiguous,Initiator caspase,NA
CASP3,Casp3,ENSG00000164305,ENSMUSG00000031628,pro-death,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,HIGH_CONFIDENCE,2,Ambiguous,Effector caspase,NA
CASP6,Casp6,ENSG00000138794,ENSMUSG00000027997,pro-death,apoptosis,TRUE,FALSE,"Hallmark,KEGG,Reactome",FALSE,TRUE,TRUE,TRUE,HIGH_CONFIDENCE,2,Unspecified,Effector caspase,NA
CASP7,Casp7,ENSG00000165806,ENSMUSG00000025076,pro-death,apoptosis,TRUE,FALSE,"Hallmark,KEGG,Reactome",FALSE,TRUE,TRUE,TRUE,LIKELY,1,Unspecified,Effector caspase,NA
CASP8,Casp8,ENSG00000064012,ENSMUSG00000026029,pro-death,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,HIGH_CONFIDENCE,2,Ambiguous,Initiator caspase (extrinsic),NA
CASP9,Casp9,ENSG00000132906,ENSMUSG00000028914,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Initiator caspase (intrinsic),NA
CTSD,Ctsd,ENSG00000117984,ENSMUSG00000007891,pro-death,CICD,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,Lysosome-dependent cell death
CYCS,Cycs,ENSG00000172115,ENSMUSG00000063694,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Intrinsic pathway - mitochondrial,NA
DIABLO,Diablo,ENSG00000184047,ENSMUSG00000029433,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Hallmark,Reactome",TRUE,FALSE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,SMAC/DIABLO family,NA
ENDOG,Endog,ENSG00000167136,ENSMUSG00000015337,pro-death,apoptosis,TRUE,TRUE,KEGG,FALSE,TRUE,FALSE,FALSE,LIKELY,1,Unspecified,Caspase-independent apoptosis,NA
FADD,Fadd,ENSG00000168040,ENSMUSG00000031077,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,LIKELY,1,Ambiguous,Death receptor adaptor,NA
FAS,Fas,ENSG00000026103,ENSMUSG00000024778,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG",TRUE,TRUE,FALSE,TRUE,LIKELY,1,Ambiguous,Death receptor (Fas),NA
FASLG,Fasl,ENSG00000117560,ENSMUSG00000000817,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,LIKELY,1,Ambiguous,Death ligand,NA
HRK,Hrk,ENSG00000135116,NA,pro-death,apoptosis,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
HTRA2,Htra2,ENSG00000115317,ENSMUSG00000068329,pro-death,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human",TRUE,FALSE,FALSE,FALSE,LIKELY,1,Ambiguous,OMI/HtrA2 family,NA
MIF,Mif,ENSG00000276701,ENSMUSG00000033307,pro-death,CICD,TRUE,FALSE,GO_Anti_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,NA,Parthanatos
PMAIP1,Pmaip1,ENSG00000141682,NA,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Hallmark,Reactome",TRUE,FALSE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
PPIF,Ppif,ENSG00000108179,ENSMUSG00000021868,pro-death,CICD,TRUE,TRUE,GO_Anti_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,NA,MPT-driven necrosis
RIPK1,Ripk1,ENSG00000137275,ENSMUSG00000021408,pro-death,CICD,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,LIKELY,1,Ambiguous,NA,Necroptosis
TFRC,Tfrc,ENSG00000072274,ENSMUSG00000022797,pro-death,CICD,TRUE,FALSE,GO_Anti_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,NA,Ferroptosis
TICAM1,Ticam1,ENSG00000127666,ENSMUSG00000047123,pro-death,CICD,TRUE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,UNCLEAR,0,Unspecified,NA,Necroptosis
TNF,Tnf,ENSG00000228321,ENSMUSG00000024401,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,UNCLEAR,0,Ambiguous,Death ligand/cytokine,NA
TNFRSF10A,Tnfrsf10b,ENSG00000104689,ENSMUSG00000022074,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,HIGH_CONFIDENCE,2,Ambiguous,TRAIL receptor DR4,NA
TNFRSF10B,NA,ENSG00000120889,NA,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,HIGH_CONFIDENCE,2,Ambiguous,TRAIL receptor DR5,NA
TNFRSF1A,Tnfrsf1a,ENSG00000067182,ENSMUSG00000030341,pro-death,apoptosis,TRUE,FALSE,"KEGG,Reactome",FALSE,TRUE,TRUE,FALSE,HIGH_CONFIDENCE,2,Unspecified,Death receptor,NA
TP53,Trp53,ENSG00000141510,ENSMUSG00000059552,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,HIGH_CONFIDENCE,2,Ambiguous,Transcription factor (pro-apoptotic genes),NA
TRADD,Tradd,ENSG00000102871,ENSMUSG00000031887,pro-death,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,UNCLEAR,0,Ambiguous,Death receptor adaptor,NA
ZBP1,Zbp1,ENSG00000124256,ENSMUSG00000027514,pro-death,CICD,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,Necroptosis
BCL2,Bcl2,ENSG00000171791,ENSMUSG00000057329,pro-survival,both,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,LIKELY,-1,Ambiguous,BCL2 family,Autophagy-dependent cell death
BCL2A1,Bcl2a1,ENSG00000140379,NA,pro-survival,apoptosis,TRUE,FALSE,GO_Anti_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,BCL2 family,NA
BCL2L1,Bcl2l1,ENSG00000171552,ENSMUSG00000007659,pro-survival,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,LIKELY,1,Ambiguous,BCL2 family,NA
BIRC2,Birc2,ENSG00000110330,ENSMUSG00000057367,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,IAP family (cIAP1),NA
BIRC3,Birc3,ENSG00000023445,ENSMUSG00000032000,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,Hallmark,KEGG",TRUE,TRUE,FALSE,TRUE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,IAP family (cIAP2),NA
BIRC5,Birc5,ENSG00000089685,ENSMUSG00000017716,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,IAP family (Survivin),NA
CFLAR,Cflar,ENSG00000003402,ENSMUSG00000026031,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,LIKELY,-1,Ambiguous,Death receptor inhibitor (cFLIP),NA
GCH1,Gch1,ENSG00000131979,ENSMUSG00000037580,pro-survival,CICD,TRUE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,UNCLEAR,0,Unspecified,NA,Ferroptosis
GPX4,Gpx4,ENSG00000167468,ENSMUSG00000075706,pro-survival,CICD,TRUE,TRUE,Hallmark,FALSE,FALSE,FALSE,TRUE,LIKELY,-1,Unspecified,NA,Ferroptosis
MCL1,Mcl1,ENSG00000143384,ENSMUSG00000038612,pro-survival,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,HIGH_CONFIDENCE,-2,Ambiguous,BCL2 family,NA
NFE2L2,Nfe2l2,ENSG00000116044,ENSMUSG00000015839,pro-survival,CICD,TRUE,FALSE,GO_Anti_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,NA,Parthanatos
NFKB1,Nfkb1,ENSG00000109320,ENSMUSG00000028163,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,KEGG",TRUE,TRUE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,Transcription factor (pro-survival),NA
NOL3,Nol3,ENSG00000140939,ENSMUSG00000014776,pro-survival,apoptosis,TRUE,FALSE,GO_Anti_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,ARC family,NA
RELA,Rela,ENSG00000173039,ENSMUSG00000024927,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,Hallmark,KEGG",TRUE,TRUE,FALSE,TRUE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,Transcription factor (pro-survival),NA
XIAP,Xiap,ENSG00000101966,ENSMUSG00000025860,pro-survival,apoptosis,TRUE,FALSE,"GO_Anti_Human,Hallmark,Reactome",TRUE,FALSE,TRUE,TRUE,ORIGINAL_ANNOTATION,-2,Anti-apoptotic,IAP family,NA
ACIN1,Acin1,ENSG00000100813,ENSMUSG00000022185,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
AKT3,Akt3,ENSG00000117020,ENSMUSG00000019699,ambiguous,apoptosis,FALSE,FALSE,"KEGG,Reactome",FALSE,TRUE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
APP,App,ENSG00000142192,ENSMUSG00000022892,ambiguous,apoptosis,FALSE,FALSE,"Hallmark,Reactome",FALSE,FALSE,TRUE,TRUE,CONFLICTING,0,Unspecified,NA,NA
BTG3,Btg3,ENSG00000281484,ENSMUSG00000022863,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
CTH,Cth,ENSG00000116761,ENSMUSG00000028179,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
DAP3,Dap3,ENSG00000132676,ENSMUSG00000068921,ambiguous,apoptosis,FALSE,TRUE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
DCN,Dcn,ENSG00000011465,ENSMUSG00000019929,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
EBP,Ebp,ENSG00000147155,ENSMUSG00000031168,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
EMP1,Emp1,ENSG00000134531,ENSMUSG00000030208,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
ENO2,Eno2,ENSG00000111674,ENSMUSG00000004267,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
FEZ1,Fez1,ENSG00000149557,ENSMUSG00000032118,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
FNTA,Fnta,ENSG00000168522,ENSMUSG00000015994,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
GPX3,Gpx3,ENSG00000211445,ENSMUSG00000018339,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
IL1R1,Il1r1,ENSG00000115594,ENSMUSG00000026072,ambiguous,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,CONFLICTING,0,Unspecified,NA,NA
IL1RAP,Il1rap,ENSG00000196083,ENSMUSG00000022514,ambiguous,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,CONFLICTING,0,Unspecified,NA,NA
LUM,Lum,ENSG00000139329,ENSMUSG00000036446,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
MAP3K14,Map3k14,ENSG00000006062,ENSMUSG00000020941,ambiguous,apoptosis,FALSE,FALSE,KEGG,FALSE,TRUE,FALSE,FALSE,CONFLICTING,0,Unspecified,NA,NA
MMP2,Mmp2,ENSG00000087245,ENSMUSG00000031740,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
NDRG1,Ndrg1,ENSG00000104419,ENSMUSG00000005125,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
OTUD7B,Otud7b,ENSG00000264522,ENSMUSG00000038495,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PAK1,Pak1,ENSG00000149269,ENSMUSG00000030774,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
PDGFRB,Pdgfrb,ENSG00000113721,ENSMUSG00000024620,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
PSMC1,Psmc1,ENSG00000100764,ENSMUSG00000021178,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMC2,Psmc2,ENSG00000161057,ENSMUSG00000028932,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMC3,Psmc3,ENSG00000165916,ENSMUSG00000002102,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMC4,Psmc4,ENSG00000281221,ENSMUSG00000030603,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMC5,Psmc5,ENSG00000087191,ENSMUSG00000020708,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMC6,Psmc6,ENSG00000100519,ENSMUSG00000021832,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD11,Psmd11,ENSG00000108671,ENSMUSG00000017428,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD12,Psmd12,ENSG00000197170,ENSMUSG00000020720,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD13,Psmd13,ENSG00000185627,ENSMUSG00000025487,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD14,Psmd14,ENSG00000115233,ENSMUSG00000026914,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD2,Psmd2,ENSG00000175166,ENSMUSG00000006998,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD3,Psmd3,ENSG00000108344,ENSMUSG00000017221,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD4,Psmd4,ENSG00000159352,ENSMUSG00000005625,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD6,Psmd6,ENSG00000163636,ENSMUSG00000021737,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD7,Psmd7,ENSG00000103035,ENSMUSG00000039067,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
PSMD8,Psmd8,ENSG00000099341,ENSMUSG00000030591,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
RABGGTA,Rabggta,ENSG00000100949,ENSMUSG00000040472,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
SAT1,Sat1,ENSG00000130066,ENSMUSG00000025283,ambiguous,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,CONFLICTING,0,Unspecified,NA,NA
TANK,Tank,ENSG00000136560,ENSMUSG00000064289,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
VIM,Vim,ENSG00000026025,ENSMUSG00000026728,ambiguous,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,CONFLICTING,0,Unspecified,NA,NA
ABCA7,Abca7,ENSG00000064687,ENSMUSG00000035722,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ABL1,Abl1,ENSG00000097007,ENSMUSG00000026842,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ABR,Abr,ENSG00000278741,ENSMUSG00000017631,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ACER2,Acer2,ENSG00000177076,ENSMUSG00000038007,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ACVR1C,Acvr1c,ENSG00000123612,ENSMUSG00000026834,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ADAM8,Adam8,ENSG00000151651,ENSMUSG00000025473,pro-death,apoptosis,FALSE,FALSE,"GO_Anti_Human,GO_Pro_Human",TRUE,FALSE,FALSE,FALSE,LIKELY,1,Ambiguous,NA,NA
ADAMTSL4,Adamtsl4,ENSG00000143382,ENSMUSG00000015850,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ADIPOQ,Adipoq,ENSG00000181092,ENSMUSG00000022878,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
AGT,Agt,ENSG00000135744,ENSMUSG00000031980,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
AGTR2,Agtr2,ENSG00000180772,ENSMUSG00000068122,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
AIFM2,Aifm2,ENSG00000042286,ENSMUSG00000020085,pro-death,apoptosis,FALSE,TRUE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
AIFM3,Aifm3,ENSG00000183773,ENSMUSG00000022763,pro-death,apoptosis,FALSE,TRUE,Hallmark,FALSE,FALSE,FALSE,TRUE,LIKELY,1,Unspecified,NA,NA
AKAP13,Akap13,ENSG00000170776,ENSMUSG00000066406,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
AKR1C3,Akr1c18,ENSG00000196139,ENSMUSG00000021214,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ANKH,Ank,ENSG00000154122,ENSMUSG00000022265,pro-death,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,LIKELY,1,Unspecified,NA,NA
ANKRD1,Ankrd1,ENSG00000148677,ENSMUSG00000024803,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ANO6,Ano6,ENSG00000177119,ENSMUSG00000064210,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ANP32B,NA,ENSG00000136938,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ANXA1,Anxa1,ENSG00000135046,ENSMUSG00000024659,pro-death,apoptosis,FALSE,FALSE,"GO_Anti_Human,GO_Pro_Human,Hallmark",TRUE,FALSE,FALSE,TRUE,LIKELY,1,Ambiguous,NA,NA
